"数据年月","贸易伙伴编码","贸易伙伴名称","商品编码","商品名称","第一数量","第一计量单位","第二数量","第二计量单位","人民币",
"202301","402","阿根廷","12019019","转基因黄大豆","1296592160","千克","0","?","5,917,063,944",
"202301","410","巴西","12019019","转基因黄大豆","1831535439","千克","0","?","8,634,238,278",
"202301","502","美国","12019019","转基因黄大豆","4230313801","千克","0","?","19,871,761,143",
"202302","502","美国","12019011","非转基因黄大豆","360489","千克","0","?","1,810,818",
"202302","402","阿根廷","12019019","转基因黄大豆","59799980","千克","0","?","284,199,366",
"202302","410","巴西","12019019","转基因黄大豆","408681217","千克","0","?","1,914,915,140",
"202302","502","美国","12019019","转基因黄大豆","5460778943","千克","0","?","25,206,435,308",
"202303","502","美国","12019011","非转基因黄大豆","1163772","千克","0","?","5,637,010",
"202303","402","阿根廷","12019019","转基因黄大豆","72600000","千克","0","?","306,264,130",
"202303","410","巴西","12019019","转基因黄大豆","1671331325","千克","0","?","7,502,069,045",
"202303","502","美国","12019019","转基因黄大豆","4513423446","千克","0","?","20,526,526,682",
"202304","502","美国","12019011","非转基因黄大豆","386101","千克","0","?","1,904,337",
"202304","410","巴西","12019019","转基因黄大豆","5295955207","千克","0","?","22,921,591,490",
"202304","502","美国","12019019","转基因黄大豆","1694706867","千克","0","?","7,744,132,451",
"202305","502","美国","12019011","非转基因黄大豆","1321141","千克","0","?","5,724,369",
"202305","410","巴西","12019019","转基因黄大豆","10933720285","千克","0","?","46,036,907,853",
"202305","502","美国","12019019","转基因黄大豆","494102778","千克","0","?","2,200,110,278",
"202306","502","美国","12019011","非转基因黄大豆","237293","千克","0","?","1,565,348",
"202306","410","巴西","12019019","转基因黄大豆","9509324882","千克","0","?","39,071,668,075",
"202306","502","美国","12019019","转基因黄大豆","316924658","千克","0","?","1,403,203,997",
"202307","502","美国","12019011","非转基因黄大豆","20666","千克","0","?","146,571",
"202307","402","阿根廷","12019019","转基因黄大豆","71709160","千克","0","?","293,573,776",
"202307","410","巴西","12019019","转基因黄大豆","9229213577","千克","0","?","37,002,755,002",
"202307","502","美国","12019019","转基因黄大豆","142129436","千克","0","?","625,422,120",
"202308","502","美国","12019011","非转基因黄大豆","967920","千克","0","?","5,268,574",
"202308","402","阿根廷","12019019","转基因黄大豆","360780","千克","0","?","1,509,334",
"202308","410","巴西","12019019","转基因黄大豆","9087119089","千克","0","?","36,151,956,830",
"202308","502","美国","12019019","转基因黄大豆","119105176","千克","0","?","519,279,452",
"202309","502","美国","12019011","非转基因黄大豆","1012457","千克","0","?","5,558,018",
"202309","410","巴西","12019019","转基因黄大豆","6880410216","千克","0","?","27,845,275,626",
"202309","502","美国","12019019","转基因黄大豆","132679798","千克","0","?","589,059,365",
"202310","402","阿根廷","12019019","转基因黄大豆","1077455","千克","0","?","4,779,863",
"202310","410","巴西","12019019","转基因黄大豆","4814109388","千克","0","?","19,692,753,081",
"202310","502","美国","12019019","转基因黄大豆","228253510","千克","0","?","972,855,209",
"202311","402","阿根廷","12019019","转基因黄大豆","54214080","千克","0","?","226,426,865",
"202311","410","巴西","12019019","转基因黄大豆","5289242927","千克","0","?","21,646,314,928",
"202311","502","美国","12019019","转基因黄大豆","2292912662","千克","0","?","9,563,291,633",
"202312","402","阿根廷","12019019","转基因黄大豆","389433325","千克","0","?","1,573,963,185",
"202312","410","巴西","12019019","转基因黄大豆","4979406779","千克","0","?","20,346,903,398",
"202312","502","美国","12019019","转基因黄大豆","3848790382","千克","0","?","15,902,135,048",
