"数据年月","贸易伙伴编码","贸易伙伴名称","商品编码","商品名称","第一数量","第一计量单位","第二数量","第二计量单位","人民币",
"202501","402","阿根廷","12011000","种用大豆","14","千克","0","?","3,613",
"202501","402","阿根廷","12019019","转基因黄大豆","111603000","千克","0","?","375,294,072",
"202501","410","巴西","12019019","转基因黄大豆","2220319923","千克","0","?","7,416,245,543",
"202501","502","美国","12019019","转基因黄大豆","4918522544","千克","0","?","16,424,649,924",
"202502","410","巴西","12019019","转基因黄大豆","1369085631","千克","0","?","4,584,141,896",
"202502","502","美国","12019019","转基因黄大豆","4213757900","千克","0","?","13,960,100,360",
"202503","410","巴西","12019019","转基因黄大豆","951006051","千克","0","?","3,158,055,869",
"202503","502","美国","12019019","转基因黄大豆","2436107694","千克","0","?","7,995,435,350",
"202504","410","巴西","12019019","转基因黄大豆","4598847249","千克","0","?","14,455,759,397",
"202504","502","美国","12019019","转基因黄大豆","1377888810","千克","0","?","4,442,250,995",
"202505","410","巴西","12019019","转基因黄大豆","12109276994","千克","0","?","37,843,285,434",
"202505","502","美国","12019019","转基因黄大豆","1627316469","千克","0","?","5,376,085,569",
"202506","402","阿根廷","12011000","种用大豆","20","千克","0","?","5,158",
"202506","410","巴西","12019019","转基因黄大豆","10615094837","千克","0","?","32,945,719,862",
"202506","502","美国","12019019","转基因黄大豆","1599154220","千克","0","?","5,235,937,320",
"202507","410","巴西","12011000","种用大豆","1","千克","0","?","1,382",
"202507","402","阿根廷","12019019","转基因黄大豆","561027477","千克","0","?","1,782,325,307",
"202507","410","巴西","12019019","转基因黄大豆","10391201346","千克","0","?","32,612,522,797",
"202507","502","美国","12019019","转基因黄大豆","420873705","千克","0","?","1,353,967,816",
"202508","402","阿根廷","12011000","种用大豆","487","千克","0","?","74,498",
"202508","410","巴西","12011000","种用大豆","2","千克","0","?","1,244",
"202508","402","阿根廷","12019019","转基因黄大豆","1050988280","千克","0","?","3,350,474,969",
"202508","410","巴西","12019019","转基因黄大豆","10484033113","千克","0","?","33,232,877,408",
"202508","502","美国","12019019","转基因黄大豆","227205109","千克","0","?","728,665,484",
"202509","402","阿根廷","12019019","转基因黄大豆","1173418773","千克","0","?","3,665,243,928",
"202509","410","巴西","12019019","转基因黄大豆","10959349130","千克","0","?","35,064,035,475",
"202510","402","阿根廷","12019019","转基因黄大豆","1567094532","千克","0","?","4,996,218,113",
"202510","410","巴西","12019019","转基因黄大豆","7115741872","千克","0","?","23,502,851,966",
