"数据年月","贸易伙伴编码","贸易伙伴名称","商品编码","商品名称","第一数量","第一计量单位","第二数量","第二计量单位","人民币",
"202501","502","美国","12019011","非转基因黄大豆","82677","千克","0","?","634,583",
"202501","502","美国","12019020","黑大豆，种用除外","27803","千克","0","?","317,052",
"202502","502","美国","12019011","非转基因黄大豆","29683","千克","0","?","227,756",
"202502","502","美国","12019020","黑大豆，种用除外","4193","千克","0","?","58,385",
"202503","502","美国","12019011","非转基因黄大豆","5665","千克","0","?","71,448",
"202503","502","美国","12019020","黑大豆，种用除外","56796","千克","0","?","747,358",
"202504","502","美国","12019011","非转基因黄大豆","21500","千克","0","?","154,149",
"202504","502","美国","12019020","黑大豆，种用除外","16322","千克","0","?","237,762",
"202505","502","美国","12019011","非转基因黄大豆","4534","千克","0","?","23,954",
"202505","502","美国","12019020","黑大豆，种用除外","18724","千克","0","?","176,502",
"202506","410","巴西","12011000","种用大豆","0","千克","0","?","35",
"202506","502","美国","12019011","非转基因黄大豆","20351","千克","0","?","201,039",
"202506","502","美国","12019020","黑大豆，种用除外","34826","千克","0","?","488,968",
"202507","502","美国","12019011","非转基因黄大豆","54230","千克","0","?","465,370",
"202507","502","美国","12019020","黑大豆，种用除外","40692","千克","0","?","514,652",
"202508","410","巴西","12011000","种用大豆","7","千克","0","?","50",
"202508","502","美国","12019011","非转基因黄大豆","10063","千克","0","?","137,927",
"202508","502","美国","12019020","黑大豆，种用除外","15492","千克","0","?","245,437",
"202509","502","美国","12019011","非转基因黄大豆","14535","千克","0","?","126,721",
"202509","502","美国","12019020","黑大豆，种用除外","13712","千克","0","?","172,951",
"202510","410","巴西","12011000","种用大豆","4","千克","0","?","4",
"202510","502","美国","12019011","非转基因黄大豆","16364","千克","0","?","135,795",
"202510","502","美国","12019020","黑大豆，种用除外","23192","千克","0","?","339,348",
