Year,Month,Country,US$ FOB
2025,10,China,2651925049
2025,10,Iran,63838781
2025,10,Italy,32
2025,10,Japan,13263500
2025,10,Jordan,574496
2025,10,Liberia,268
2025,10,Luxembourg,154
2025,10,Malta,160
2025,10,Marshall Islands,26
2025,10,Netherlands,67969468
2025,10,Panama,79
2025,10,Peru,7296
2025,10,Spain,8389798
2025,10,Thailand,241122316
2025,10,United States,80
2025,10,Virgin Islands (UK),259566
2025,09,Argentina,2723906
2025,09,China,2864739717
2025,09,France,329944
2025,09,Italy,20128434
2025,09,Jordan,214305
2025,09,Nigeria,12101760
2025,09,Norway,11382391
2025,09,Panama,11
2025,09,Paraguay,114168
2025,09,Portugal,150
2025,09,Singapore,174
2025,09,Spain,109189888
2025,09,Thailand,252188390
2025,09,United Kingdom,23241553
2025,08,Bahamas,181
2025,08,China,3295925613
2025,08,Costa Rica,4516287
2025,08,Greece,10074326
2025,08,Hong Kong,11
2025,08,Israel,12378095
2025,08,Italy,34315632
2025,08,Japan,40329520
2025,08,Lebanon,7627181
2025,08,Liberia,234
2025,08,Marshall Islands,130
2025,08,Mexico,35311634
2025,08,Netherlands,46
2025,08,Nigeria,1226853
2025,08,Norway,91
2025,08,Pakistan,56114551
2025,08,Panama,158
2025,08,Singapore,344
2025,08,South Korea,23160821
2025,08,Spain,259142148
2025,08,Taiwan,8171596
2025,08,Thailand,346949500
2025,08,Turkey,8767930
2025,08,United Kingdom,30284305
2025,08,Vietnam,41667900
2025,07,Bahamas,38
2025,07,Bangladesh,46735574
2025,07,China,3885074184
2025,07,France,685812
2025,07,Greece,33070952
2025,07,Iran,5466896
2025,07,Israel,13344169
2025,07,Italy,82865350
2025,07,Japan,41052842
2025,07,Lebanon,6068250
2025,07,Liberia,49
2025,07,Marshall Islands,379
2025,07,Mexico,23268726
2025,07,Netherlands,71034942
2025,07,Norway,22259778
2025,07,Pakistan,106208083
2025,07,Panama,156
2025,07,Portugal,72135726
2025,07,Russia,12691128
2025,07,Singapore,102
2025,07,South Korea,26049842
2025,07,Spain,513268302
2025,07,Taiwan,71232525
2025,07,Thailand,301113542
2025,07,Tunisia,23080244
2025,07,Turkey,61748325
2025,07,United Kingdom,23365276
2025,07,United States,40
2025,07,Vietnam,196070594
2025,06,Algeria,55142672
2025,06,Argentina,52005518
2025,06,Bangladesh,17861711
2025,06,China,4113040229
2025,06,France,1348856
2025,06,Greece,14639356
2025,06,Guyana,48000
2025,06,Iran,62087826
2025,06,Iraq,38314506
2025,06,Israel,11928789
2025,06,Italy,81788084
2025,06,Japan,19665485
2025,06,Liberia,71
