method,date,loc,item,amount,CNY
1,2024-01-01,402,12019019,159525200,639240426
1,2024-01-01,410,12019019,4074670531,16536067327
1,2024-01-01,502,12019019,3325975236,13615477348
1,2024-02-01,402,12019019,52967000,219032222
1,2024-02-01,410,12019019,2888835716,11474583130
1,2024-02-01,502,12019019,1631121853,6569771859
1,2024-03-01,410,12019019,3022414448,11224699012
1,2024-03-01,502,12019019,2179494739,8896650950
1,2024-04-01,410,12019019,5914641068,20137446811
1,2024-04-01,502,12019019,2445729936,10063427564
1,2024-05-01,410,12019019,8812096951,29685578790
1,2024-05-01,502,12019019,1265583958,5148710945
1,2024-06-01,402,12011000,29,7770
1,2024-06-01,410,12019019,9719544466,32830967862
1,2024-06-01,502,12019019,1309225176,5295368382
1,2024-07-01,402,12019019,116150230,419984965
1,2024-07-01,410,12019019,9123385078,31352994325
1,2024-07-01,502,12019019,475391774,1933025250
1,2024-08-01,402,12011000,28,4408
1,2024-08-01,402,12019019,1291114431,4695200399
1,2024-08-01,410,12019019,10237857987,35446177616
1,2024-08-01,502,12019019,202383336,817222264
1,2024-09-01,402,12011000,69,17736
1,2024-09-01,410,12011000,5,1659
1,2024-09-01,402,12019019,612746237,2208924367
1,2024-09-01,410,12019019,8444670559,28970153020
1,2024-09-01,502,12019019,1711507843,6906904341
1,2024-10-01,402,12019019,1362894550,4900759575
1,2024-10-01,410,12019019,5533981610,18597423939
1,2024-10-01,502,12019019,541433832,1950306046
1,2024-11-01,402,12019019,242227205,850313806
1,2024-11-01,410,12019019,3939875107,13208641618
1,2024-11-01,502,12019019,2791270041,10245403877
1,2024-12-01,402,12019019,264306095,897248541
1,2024-12-01,410,12019019,2935355350,9775464764
1,2024-12-01,502,12019019,4255032354,14187976530
1,2025-01-01,402,12011000,14,3613
1,2025-01-01,402,12019019,111603000,375294072
1,2025-01-01,410,12019019,2220319923,7416245543
1,2025-01-01,502,12019019,4918522544,16424649924
1,2025-02-01,410,12019019,1369085631,4584141896
1,2025-02-01,502,12019019,4213757900,13960100360
1,2025-03-01,410,12019019,951006051,3158055869
1,2025-03-01,502,12019019,2436107694,7995435350
1,2025-04-01,410,12019019,4598847249,14455759397
1,2025-04-01,502,12019019,1377888810,4442250995
1,2025-05-01,410,12019019,12109276994,37843285434
1,2025-05-01,502,12019019,1627316469,5376085569
1,2025-06-01,402,12011000,20,5158
1,2025-06-01,410,12019019,10615094837,32945719862
1,2025-06-01,502,12019019,1599154220,5235937320
1,2025-07-01,410,12011000,1,1382
1,2025-07-01,402,12019019,561027477,1782325307
1,2025-07-01,410,12019019,10391201346,32612522797
1,2025-07-01,502,12019019,420873705,1353967816
1,2025-08-01,402,12011000,487,74498
1,2025-08-01,410,12011000,2,1244
1,2025-08-01,402,12019019,1050988280,3350474969
1,2025-08-01,410,12019019,10484033113,33232877408
1,2025-08-01,502,12019019,227205109,728665484
1,2025-09-01,402,12019019,1173418773,3665243928
1,2025-09-01,410,12019019,10959349130,35064035475
1,2025-10-01,402,12019019,1567094532,4996218113
1,2025-10-01,410,12019019,7115741872,23502851966
0,2024-01-01,502,12011000,908,23416
0,2024-01-01,502,12019011,20479,184990
0,2024-01-01,502,12019020,38483,456041
0,2024-02-01,410,12011000,23,164
0,2024-02-01,502,12019011,2200,14684
0,2024-02-01,502,12019020,4496,50033
0,2024-03-01,502,12019011,9473,89341
0,2024-03-01,502,12019020,42231,460384
0,2024-04-01,502,12019011,25941,235479
0,2024-04-01,502,12019020,27784,272891
0,2024-05-01,502,12019011,8811,65044
0,2024-05-01,502,12019020,15494,181810
0,2024-06-01,502,12019011,6883,58016
0,2024-06-01,502,12019020,9173,140836
0,2024-07-01,410,12011000,0,0
0,2024-07-01,502,12019011,15495,167574
0,2024-07-01,502,12019020,10143,111366
0,2024-08-01,502,12019011,5494,47811
0,2024-08-01,502,12019020,18727,267279
0,2024-09-01,502,12019011,18820,191433
0,2024-09-01,502,12019020,22976,256970
0,2024-10-01,502,12019011,5836,68301
0,2024-10-01,502,12019020,18728,254199
0,2024-11-01,410,12011000,10,71
0,2024-11-01,502,12019011,49970,425363
0,2024-11-01,502,12019020,33223,385071
0,2024-12-01,502,12011000,1003,25645
0,2024-12-01,502,12019011,41951,388079
0,2024-12-01,502,12019020,52944,587518
0,2025-01-01,502,12019011,82677,634583
0,2025-01-01,502,12019020,27803,317052
0,2025-02-01,502,12019011,29683,227756
0,2025-02-01,502,12019020,4193,58385
0,2025-03-01,502,12019011,5665,71448
0,2025-03-01,502,12019020,56796,747358
0,2025-04-01,502,12019011,21500,154149
0,2025-04-01,502,12019020,16322,237762
0,2025-05-01,502,12019011,4534,23954
0,2025-05-01,502,12019020,18724,176502
0,2025-06-01,410,12011000,0,35
0,2025-06-01,502,12019011,20351,201039
0,2025-06-01,502,12019020,34826,488968
0,2025-07-01,502,12019011,54230,465370
0,2025-07-01,502,12019020,40692,514652
0,2025-08-01,410,12011000,7,50
0,2025-08-01,502,12019011,10063,137927
0,2025-08-01,502,12019020,15492,245437
0,2025-09-01,502,12019011,14535,126721
0,2025-09-01,502,12019020,13712,172951
0,2025-10-01,410,12011000,4,4
0,2025-10-01,502,12019011,16364,135795
0,2025-10-01,502,12019020,23192,339348
